site,floor,x,y
5a0546857ecc773753327266,0,73.5,124.0
5a0546857ecc773753327266,0,76.0,123.5
5a0546857ecc773753327266,0,71.5,116.0
5a0546857ecc773753327266,0,71.0,113.5
5a0546857ecc773753327266,1,106.0,77.5
5a0546857ecc773753327266,1,111.0,76.5
5a0546857ecc773753327266,1,116.0,76.0
5a0546857ecc773753327266,2,104.5,79.5
5a0546857ecc773753327266,2,104.5,81.5
5a0546857ecc773753327266,2,108.33333333333334,78.66666666666667
5a0546857ecc773753327266,2,108.5,80.83333333333334
5a0546857ecc773753327266,2,112.16666666666666,77.83333333333333
5a0546857ecc773753327266,2,112.5,80.16666666666667
5a0546857ecc773753327266,2,116.0,77.0
5a0546857ecc773753327266,2,116.5,79.5
5a0546857ecc773753327266,2,84.5,112.0
5a0546857ecc773753327266,2,89.0,111.0
5d27096c03f801723c31e5e0,2,60.5,57.5
5d27096c03f801723c31e5e0,2,63.5,59.5
5d27096c03f801723c31e5e0,2,63.16666666666667,54.333333333333336
5d27096c03f801723c31e5e0,2,66.33333333333334,56.5
5d27096c03f801723c31e5e0,2,65.83333333333333,51.16666666666667
5d27096c03f801723c31e5e0,2,69.16666666666667,53.5
5d27096c03f801723c31e5e0,2,68.5,48.0
5d27096c03f801723c31e5e0,2,72.0,50.5
5d27096c03f801723c31e5e0,2,75.5,40.5
5d27096c03f801723c31e5e0,2,71.5,45.0
5d27096c03f801723c31e5e0,2,57.0,61.5
5d27096c03f801723c31e5e0,2,77.0,38.5
5d27096c03f801723c31e5e0,2,68.5,36.0
5d27096c03f801723c31e5e0,2,65.0,40.0
5d27096c03f801723c31e5e0,2,74.5,41.5
5d27096c03f801723c31e5e0,2,71.5,45.0
5d27096c03f801723c31e5e0,2,57.5,61.0
5d27096c03f801723c31e5e0,2,58.0,48.0
5d27096c03f801723c31e5e0,2,55.5,45.0
5d27096c03f801723c31e5e0,2,62.5,55.5
5d27096c03f801723c31e5e0,2,64.0,53.0
5d27096c03f801723c31e5e0,3,39.5,68.0
5d27096c03f801723c31e5e0,3,36.5,65.0
5d27096c03f801723c31e5e0,3,33.5,62.5
5d27096c03f801723c31e5e0,3,31.5,65.0
5d27096c03f801723c31e5e0,3,27.5,61.0
5d27096c03f801723c31e5e0,3,22.0,56.0
5d27096c03f801723c31e5e0,3,36.5,71.5
5d27096c03f801723c31e5e0,3,33.5,74.5
5d27096c03f801723c31e5e0,3,34.0,79.5
5d27096c03f801723c31e5e0,3,31.0,77.0
5d27096c03f801723c31e5e0,3,30.5,83.0
5d27096c03f801723c31e5e0,3,28.0,80.5
5d27097f03f801723c320d97,2,60.0,232.5
5d27097f03f801723c320d97,2,53.0,230.5
5d27097f03f801723c320d97,2,54.0,229.0
5d27097f03f801723c320d97,2,102.0,199.5
5d27097f03f801723c320d97,2,105.5,201.5
5d27097f03f801723c320d97,3,132.5,61.0
5d27097f03f801723c320d97,3,131.0,64.25
5d27097f03f801723c320d97,3,129.5,67.5
5d27097f03f801723c320d97,3,136.25,63.0
5d27097f03f801723c320d97,3,134.375,66.125
5d27097f03f801723c320d97,3,132.5,69.25
5d27097f03f801723c320d97,3,140.0,65.0
5d27097f03f801723c320d97,3,137.75,68.0
5d27097f03f801723c320d97,3,135.5,71.0
5d27097f03f801723c320d97,3,144.5,76.0
5d27097f03f801723c320d97,3,146.5,63.0
5d27097f03f801723c320d97,3,150.5,66.5
5d27097f03f801723c320d97,3,127.5,58.5
5d2709b303f801723c327472,0,201.0,142.0
5d2709b303f801723c327472,0,201.0,136.0
5d2709b303f801723c327472,0,202.0,129.5
5d2709b303f801723c327472,0,207.5,130.5
5d2709b303f801723c327472,0,203.0,123.0
5d2709b303f801723c327472,0,194.0,122.0
5d2709b303f801723c327472,0,182.0,120.5
5d2709bb03f801723c32852c,0,220.5,39.0
5d2709bb03f801723c32852c,0,224.5,41.0
5d2709bb03f801723c32852c,0,224.0,33.5
5d2709bb03f801723c32852c,0,228.5,36.0
5d2709bb03f801723c32852c,0,224.0,33.0
5d2709bb03f801723c32852c,0,221.75,37.25
5d2709bb03f801723c32852c,0,219.5,41.5
5d2709bb03f801723c32852c,0,228.0,36.5
5d2709bb03f801723c32852c,0,225.5,40.25
5d2709bb03f801723c32852c,0,223.0,44.0
5d2709bb03f801723c32852c,1,164.5,41.5
5d2709bb03f801723c32852c,1,169.5,44.5
5d2709bb03f801723c32852c,1,189.5,15.0
5d2709c303f801723c3299ee,-1,41.5,32.5
5d2709c303f801723c3299ee,-1,40.5,30.0
5d2709c303f801723c3299ee,-1,38.0,29.0
5d2709c303f801723c3299ee,-1,39.5,27.5
5d2709c303f801723c3299ee,-1,38.0,28.0
5d2709c303f801723c3299ee,-1,34.5,28.0
5d2709c303f801723c3299ee,-1,35.0,30.0
5d2709c303f801723c3299ee,-1,33.0,28.0
5d2709d403f801723c32bd39,-1,65.0,32.5
5d2709d403f801723c32bd39,-1,67.0,36.5
5d2709d403f801723c32bd39,-1,67.5,32.0
5d2709d403f801723c32bd39,-1,68.5,35.0
5d2709d403f801723c32bd39,-1,83.5,128.0
5d2709d403f801723c32bd39,-1,88.0,128.5
5d2709d403f801723c32bd39,-1,93.0,128.5
5d2709d403f801723c32bd39,-1,97.0,127.5
5d2709d403f801723c32bd39,-1,70.5,119.5
5d2709d403f801723c32bd39,-1,88.0,42.0
5d2709d403f801723c32bd39,-1,83.0,42.0
5d2709d403f801723c32bd39,-1,83.5,46.0
5d2709d403f801723c32bd39,-1,78.5,47.0
5d2709d403f801723c32bd39,-1,77.0,43.0
5d2709d403f801723c32bd39,-1,74.5,48.0
5d2709d403f801723c32bd39,-1,108.5,131.5
5d2709d403f801723c32bd39,-1,103.0,133.0
5d2709d403f801723c32bd39,-1,83.5,128.0
5d2709d403f801723c32bd39,-1,90.5,128.5
5d2709d403f801723c32bd39,-1,99.5,134.0
5d2709d403f801723c32bd39,-1,100.0,136.0
5d2709d403f801723c32bd39,-1,95.0,119.0
5d2709d403f801723c32bd39,-1,96.5,124.75
5d2709d403f801723c32bd39,-1,98.0,130.5
5d2709d403f801723c32bd39,-1,96.5,118.5
5d2709d403f801723c32bd39,-1,98.75,124.25
5d2709d403f801723c32bd39,-1,101.0,130.0
5d2709d403f801723c32bd39,-1,143.0,61.0
5d2709d403f801723c32bd39,-1,143.0,64.5
5d2709d403f801723c32bd39,-1,143.0,68.0
5d2709d403f801723c32bd39,-1,143.0,71.5
5d2709d403f801723c32bd39,-1,145.0,61.0
5d2709d403f801723c32bd39,-1,145.0,64.5
5d2709d403f801723c32bd39,-1,145.0,68.0
5d2709d403f801723c32bd39,-1,145.0,71.5
5d2709d403f801723c32bd39,-1,143.0,83.5
5d2709d403f801723c32bd39,-1,143.0,87.25
5d2709d403f801723c32bd39,-1,143.0,91.0
5d2709d403f801723c32bd39,-1,145.0,83.5
5d2709d403f801723c32bd39,-1,145.0,87.25
5d2709d403f801723c32bd39,-1,145.0,91.0
5d2709d403f801723c32bd39,-1,148.0,88.5
5d2709d403f801723c32bd39,-1,148.0,91.0
5d2709d403f801723c32bd39,-1,152.625,88.5
5d2709d403f801723c32bd39,-1,152.625,91.125
5d2709d403f801723c32bd39,-1,157.25,88.5
5d2709d403f801723c32bd39,-1,157.25,91.25
5d2709d403f801723c32bd39,-1,161.875,88.5
5d2709d403f801723c32bd39,-1,161.875,91.375
5d2709d403f801723c32bd39,-1,166.5,88.5
5d2709d403f801723c32bd39,-1,166.5,91.5
5d2709d403f801723c32bd39,-1,178.0,63.5
5d2709d403f801723c32bd39,-1,178.0,69.10000000000001
5d2709d403f801723c32bd39,-1,178.0,74.7
5d2709d403f801723c32bd39,-1,178.0,80.3
5d2709d403f801723c32bd39,-1,178.0,85.9
5d2709d403f801723c32bd39,-1,178.0,91.5
5d2709d403f801723c32bd39,-1,181.0,63.5
5d2709d403f801723c32bd39,-1,181.0,69.10000000000001
5d2709d403f801723c32bd39,-1,181.0,74.7
5d2709d403f801723c32bd39,-1,181.0,80.3
5d2709d403f801723c32bd39,-1,181.0,85.9
5d2709d403f801723c32bd39,-1,181.0,91.5
5d2709d403f801723c32bd39,-1,169.0,89.0
5d2709d403f801723c32bd39,-1,172.5,89.0
5d2709d403f801723c32bd39,-1,82.5,36.5
5d2709d403f801723c32bd39,-1,82.5,34.5
5d2709d403f801723c32bd39,-1,77.0,37.5
5d2709d403f801723c32bd39,-1,76.5,35.5
5d2709d403f801723c32bd39,-1,70.0,37.5
5d2709d403f801723c32bd39,-1,71.0,40.0
5d2709d403f801723c32bd39,-1,68.5,41.0
5d2709d403f801723c32bd39,-1,68.0,38.5
5d2709d403f801723c32bd39,0,83.9,117.3
5d2709d403f801723c32bd39,0,84.17777777777778,119.26666666666665
5d2709d403f801723c32bd39,0,84.45555555555556,121.23333333333333
5d2709d403f801723c32bd39,0,84.73333333333335,123.2
5d2709d403f801723c32bd39,0,85.01111111111112,125.16666666666667
5d2709d403f801723c32bd39,0,85.28888888888889,127.13333333333333
5d2709d403f801723c32bd39,0,85.56666666666668,129.1
5d2709d403f801723c32bd39,0,85.84444444444446,131.06666666666666
5d2709d403f801723c32bd39,0,86.12222222222222,133.03333333333333
5d2709d403f801723c32bd39,0,86.4,135.0
5d2709d403f801723c32bd39,0,86.30000000000001,117.1
5d2709d403f801723c32bd39,0,86.7,119.01666666666665
5d2709d403f801723c32bd39,0,87.10000000000001,120.93333333333334
5d2709d403f801723c32bd39,0,87.5,122.85000000000001
5d2709d403f801723c32bd39,0,87.9,124.76666666666668
5d2709d403f801723c32bd39,0,88.3,126.68333333333332
5d2709d403f801723c32bd39,0,88.70000000000002,128.6
5d2709d403f801723c32bd39,0,89.10000000000002,130.51666666666665
5d2709d403f801723c32bd39,0,89.5,132.43333333333334
5d2709d403f801723c32bd39,0,89.9,134.35
5d2709d403f801723c32bd39,0,88.7,116.9
5d2709d403f801723c32bd39,0,89.22222222222223,118.76666666666667
5d2709d403f801723c32bd39,0,89.74444444444445,120.63333333333334
5d2709d403f801723c32bd39,0,90.26666666666668,122.50000000000001
5d2709d403f801723c32bd39,0,90.78888888888889,124.36666666666667
5d2709d403f801723c32bd39,0,91.31111111111112,126.23333333333332
5d2709d403f801723c32bd39,0,91.83333333333334,128.1
5d2709d403f801723c32bd39,0,92.35555555555557,129.96666666666667
5d2709d403f801723c32bd39,0,92.87777777777778,131.83333333333334
5d2709d403f801723c32bd39,0,93.4,133.7
5d2709d403f801723c32bd39,0,95.0,76.5
5d2709d403f801723c32bd39,0,92.0,80.75
5d2709d403f801723c32bd39,0,89.0,85.0
5d2709d403f801723c32bd39,0,97.5,77.5
5d2709d403f801723c32bd39,0,94.25,82.5
5d2709d403f801723c32bd39,0,91.0,87.5
5d2709d403f801723c32bd39,0,75.0,89.0
5d2709d403f801723c32bd39,0,75.5,92.5
5d2709d403f801723c32bd39,0,80.0,88.25
5d2709d403f801723c32bd39,0,80.75,91.5
5d2709d403f801723c32bd39,0,85.0,87.5
5d2709d403f801723c32bd39,0,86.0,90.5
5d2709d403f801723c32bd39,0,63.5,85.0
5d2709d403f801723c32bd39,0,62.5,86.5
5d2709d403f801723c32bd39,0,67.25,86.5
5d2709d403f801723c32bd39,0,66.0,88.75
5d2709d403f801723c32bd39,0,71.0,88.0
5d2709d403f801723c32bd39,0,69.5,91.0
5d2709d403f801723c32bd39,0,111.5,128.0
5d2709d403f801723c32bd39,0,118.5,123.5
5d2709d403f801723c32bd39,0,126.5,116.5
5d2709d403f801723c32bd39,0,21.0,110.5
5d2709d403f801723c32bd39,0,24.5,114.75
5d2709d403f801723c32bd39,0,28.0,119.0
5d2709d403f801723c32bd39,0,22.75,109.75
5d2709d403f801723c32bd39,0,26.0,113.625
5d2709d403f801723c32bd39,0,29.25,117.5
5d2709d403f801723c32bd39,0,24.5,109.0
5d2709d403f801723c32bd39,0,27.5,112.5
5d2709d403f801723c32bd39,0,30.5,116.0
5d2709d403f801723c32bd39,1,38.5,66.5
5d2709d403f801723c32bd39,1,34.5,66.0
5d2709d403f801723c32bd39,1,30.5,65.5
5d2709d403f801723c32bd39,1,26.5,65.0
5d2709d403f801723c32bd39,1,26.5,70.5
5d2709d403f801723c32bd39,1,27.0,75.0
5d2709d403f801723c32bd39,1,30.5,74.5
5d2709d403f801723c32bd39,1,34.5,74.5
5d2709d403f801723c32bd39,1,38.5,74.0
5da1382d4db8ce0c98bbe92e,1,126.0,160.0
5da1382d4db8ce0c98bbe92e,1,114.5,162.0
5da1382d4db8ce0c98bbe92e,1,114.5,156.0
5da1382d4db8ce0c98bbe92e,1,119.5,156.0
5da1382d4db8ce0c98bbe92e,1,119.5,147.5
5da1382d4db8ce0c98bbe92e,1,107.0,157.0
5da1382d4db8ce0c98bbe92e,1,107.5,145.5
5da1382d4db8ce0c98bbe92e,1,113.5,145.5
5da1382d4db8ce0c98bbe92e,2,186.0,26.0
5da1382d4db8ce0c98bbe92e,2,121.5,93.5
5da1382d4db8ce0c98bbe92e,2,119.0,89.5
5da1382d4db8ce0c98bbe92e,2,118.5,80.5
5da1382d4db8ce0c98bbe92e,2,125.0,80.0
5da1382d4db8ce0c98bbe92e,2,133.0,80.0
5da1382d4db8ce0c98bbe92e,2,136.5,80.5
5da1382d4db8ce0c98bbe92e,2,136.5,86.0
5da1382d4db8ce0c98bbe92e,2,137.0,106.0
5da1382d4db8ce0c98bbe92e,2,162.0,120.0
5da1382d4db8ce0c98bbe92e,2,162.0,111.0
5da1382d4db8ce0c98bbe92e,2,168.5,106.5
5da1382d4db8ce0c98bbe92e,2,168.5,111.0
5da1382d4db8ce0c98bbe92e,2,175.0,111.0
5da1382d4db8ce0c98bbe92e,4,72.5,155.0
5da1382d4db8ce0c98bbe92e,4,72.5,146.5
5da1382d4db8ce0c98bbe92e,4,62.5,146.0
5da1382d4db8ce0c98bbe92e,4,63.5,148.5
5da1382d4db8ce0c98bbe92e,4,69.0,138.5
5da1382d4db8ce0c98bbe92e,4,68.5,148.0
5da1382d4db8ce0c98bbe92e,4,184.0,13.0
5da1382d4db8ce0c98bbe92e,4,184.0,16.5
5da1382d4db8ce0c98bbe92e,4,186.5,17.0
5da1382d4db8ce0c98bbe92e,4,186.5,22.5
5da1382d4db8ce0c98bbe92e,4,186.0,27.0
5da1382d4db8ce0c98bbe92e,4,183.5,26.5
5da1382d4db8ce0c98bbe92e,4,158.0,28.5
5da1382d4db8ce0c98bbe92e,4,180.5,22.0
5da1382d4db8ce0c98bbe92e,4,176.0,21.5
5da1382d4db8ce0c98bbe92e,4,171.0,21.5
5da1382d4db8ce0c98bbe92e,4,171.0,28.5
5da1382d4db8ce0c98bbe92e,4,171.5,33.0
5da1382d4db8ce0c98bbe92e,4,164.0,34.0
5da1382d4db8ce0c98bbe92e,4,166.0,40.5
5da1382d4db8ce0c98bbe92e,4,163.5,51.0
5da1382d4db8ce0c98bbe92e,4,145.5,41.5
5da1382d4db8ce0c98bbe92e,4,142.0,42.0
5da1382d4db8ce0c98bbe92e,4,145.0,36.5
5da1382d4db8ce0c98bbe92e,4,142.0,37.0
5da1383b4db8ce0c98bc11ab,0,86.0,139.0
5da1383b4db8ce0c98bc11ab,0,84.5,130.0
5da1383b4db8ce0c98bc11ab,0,210.0,245.0
5da1383b4db8ce0c98bc11ab,0,210.0,241.5
5da1383b4db8ce0c98bc11ab,0,203.5,240.5
5da1383b4db8ce0c98bc11ab,0,196.5,240.5
5da1383b4db8ce0c98bc11ab,1,163.0,232.5
5da1383b4db8ce0c98bc11ab,1,163.0,234.5
5da1383b4db8ce0c98bc11ab,1,169.33333333333334,232.50000000000003
5da1383b4db8ce0c98bc11ab,1,169.33333333333334,234.66666666666669
5da1383b4db8ce0c98bc11ab,1,175.66666666666669,232.5
5da1383b4db8ce0c98bc11ab,1,175.66666666666669,234.83333333333331
5da1383b4db8ce0c98bc11ab,1,182.0,232.5
5da1383b4db8ce0c98bc11ab,1,182.0,235.0
5da1383b4db8ce0c98bc11ab,1,79.0,216.0
5da1383b4db8ce0c98bc11ab,1,76.0,220.0
5da1383b4db8ce0c98bc11ab,1,72.0,215.0
5da1383b4db8ce0c98bc11ab,1,67.5,211.0
5da1383b4db8ce0c98bc11ab,1,76.5,163.0
5da1383b4db8ce0c98bc11ab,1,79.33333333333334,167.83333333333334
5da1383b4db8ce0c98bc11ab,1,82.16666666666667,172.66666666666669
5da1383b4db8ce0c98bc11ab,1,85.0,177.5
5da1383b4db8ce0c98bc11ab,1,78.5,161.5
5da1383b4db8ce0c98bc11ab,1,81.5,166.0
5da1383b4db8ce0c98bc11ab,1,84.5,170.5
5da1383b4db8ce0c98bc11ab,1,87.5,175.0
5da1383b4db8ce0c98bc11ab,2,48.0,185.0
5da1383b4db8ce0c98bc11ab,2,40.5,177.5
5da1383b4db8ce0c98bc11ab,2,37.5,181.0
5da1383b4db8ce0c98bc11ab,2,44.0,181.0
5da1383b4db8ce0c98bc11ab,2,34.5,177.5
5da138754db8ce0c98bca82f,0,77.0,54.0
5da138754db8ce0c98bca82f,0,72.5,52.5
5da138754db8ce0c98bca82f,0,67.5,49.5
5da138754db8ce0c98bca82f,0,57.5,45.0
5da138754db8ce0c98bca82f,0,63.0,47.5
5da138754db8ce0c98bca82f,1,214.5,46.0
5da138754db8ce0c98bca82f,1,220.5,40.5
5da138754db8ce0c98bca82f,1,222.0,44.5
5da138754db8ce0c98bca82f,1,226.0,44.5
5da138754db8ce0c98bca82f,1,226.0,41.0
5da138754db8ce0c98bca82f,1,232.0,42.0
5da138754db8ce0c98bca82f,2,70.0,76.0
5da138754db8ce0c98bca82f,2,43.0,79.0
5da138754db8ce0c98bca82f,2,47.5,78.5
5da138754db8ce0c98bca82f,2,46.5,73.0
5da138754db8ce0c98bca82f,2,42.5,73.0
5da138754db8ce0c98bca82f,2,54.5,71.5
5da138754db8ce0c98bca82f,2,61.0,71.0
5da138754db8ce0c98bca82f,2,75.5,29.5
5da138754db8ce0c98bca82f,2,79.0,29.0
5da138754db8ce0c98bca82f,2,83.0,29.0
5da138754db8ce0c98bca82f,2,83.0,32.5
5da138754db8ce0c98bca82f,2,84.0,38.0
5da138754db8ce0c98bca82f,2,87.0,36.5
5da138754db8ce0c98bca82f,2,92.5,35.5
5da138764db8ce0c98bcaa46,-1,45.0,133.5
5da138764db8ce0c98bcaa46,0,42.5,209.5
5da138764db8ce0c98bcaa46,0,43.0,204.0
5da138764db8ce0c98bcaa46,0,44.5,210.0
5da138764db8ce0c98bcaa46,0,45.0,203.5
5da138764db8ce0c98bcaa46,0,42.5,206.5
5da138764db8ce0c98bcaa46,0,44.5,206.5
5da138764db8ce0c98bcaa46,0,47.0,206.5
5da138764db8ce0c98bcaa46,0,49.0,206.5
5da138764db8ce0c98bcaa46,2,34.5,99.5
5da138764db8ce0c98bcaa46,2,38.0,100.0
5da138764db8ce0c98bcaa46,2,38.0,103.5
5da138764db8ce0c98bcaa46,2,33.0,103.0
5da138764db8ce0c98bcaa46,2,33.0,105.0
5da138764db8ce0c98bcaa46,2,34.5,108.0
5da138764db8ce0c98bcaa46,2,32.5,109.5
5da138764db8ce0c98bcaa46,2,35.5,113.0
5da138b74db8ce0c98bd4774,-1,137.5,104.5
5da138b74db8ce0c98bd4774,4,133.0,145.5
5da138b74db8ce0c98bd4774,4,135.0,148.5
5da138b74db8ce0c98bd4774,4,129.5,148.0
5da138b74db8ce0c98bd4774,4,128.0,146.0
5da138b74db8ce0c98bd4774,4,128.5,144.0
5da138b74db8ce0c98bd4774,4,119.5,153.5
5da958dd46f8266d0737457b,-1,133.0,134.0
5da958dd46f8266d0737457b,3,97.0,44.5
5da958dd46f8266d0737457b,3,96.5,50.0
5da958dd46f8266d0737457b,3,95.66666666666667,55.5
5da958dd46f8266d0737457b,3,94.83333333333334,61.0
5da958dd46f8266d0737457b,3,94.0,66.5
5da958dd46f8266d0737457b,3,100.0,50.5
5da958dd46f8266d0737457b,3,99.16666666666667,56.0
5da958dd46f8266d0737457b,3,98.33333333333334,61.5
5da958dd46f8266d0737457b,3,97.5,67.0
5da958dd46f8266d0737457b,4,85.0,151.5
5da958dd46f8266d0737457b,4,84.25,156.0
5da958dd46f8266d0737457b,4,83.5,160.5
5da958dd46f8266d0737457b,4,88.0,151.0
5da958dd46f8266d0737457b,4,87.5,155.0
5da958dd46f8266d0737457b,4,87.0,159.0
5da958dd46f8266d0737457b,5,68.5,114.5
5da958dd46f8266d0737457b,5,71.5,117.0
5da958dd46f8266d0737457b,5,71.75,110.5
5da958dd46f8266d0737457b,5,74.75,113.0
5da958dd46f8266d0737457b,5,75.0,106.5
5da958dd46f8266d0737457b,5,78.0,109.0
5dbc1d84c1eb61796cf7c010,-1,199.0,284.5
5dbc1d84c1eb61796cf7c010,-1,182.0,262.5
5dbc1d84c1eb61796cf7c010,-1,189.0,268.5
5dbc1d84c1eb61796cf7c010,-1,186.5,271.5
5dbc1d84c1eb61796cf7c010,4,50.0,143.5
5dbc1d84c1eb61796cf7c010,4,47.5,151.5
5dbc1d84c1eb61796cf7c010,4,110.5,122.5
5dbc1d84c1eb61796cf7c010,4,112.5,121.0
5dbc1d84c1eb61796cf7c010,4,121.5,107.0
5dbc1d84c1eb61796cf7c010,4,123.5,113.5
5dbc1d84c1eb61796cf7c010,4,121.5,111.5
5dbc1d84c1eb61796cf7c010,4,117.0,110.0
5dbc1d84c1eb61796cf7c010,4,113.0,113.5
5dbc1d84c1eb61796cf7c010,6,116.0,110.0
5dbc1d84c1eb61796cf7c010,6,112.0,123.5
5dc8cea7659e181adb076a3f,0,253.5,75.5
5dc8cea7659e181adb076a3f,0,253.0,78.5
5dc8cea7659e181adb076a3f,0,248.5,74.0
5dc8cea7659e181adb076a3f,6,110.0,112.0
5dc8cea7659e181adb076a3f,6,117.0,116.0
5dc8cea7659e181adb076a3f,6,123.0,106.5
5dc8cea7659e181adb076a3f,6,122.0,112.5
5dc8cea7659e181adb076a3f,6,129.0,114.5
5dc8cea7659e181adb076a3f,6,126.5,117.0
